title
張智倫棄權缺席政見發表會　吳崢、邱臣遠嘆：如何替人民把關？
侯友宜競辦明提告　李正皓喊「歡迎」再批：捐出新莊土地並道歉
高端採購合約遭質疑　陳建仁：疾管署已和高端協商提早公布
金門3立委政見一次看！　陳玉珍、尚文凱藍白開戰
遭張宏陸指和侯友宜掃街買票　林國春怒告發意圖使人不當選
快訊／遭邱毅影射有私生子　賴清德今提告
陳時中稱「說我涉內線交易就提告」　柯辦發言人批：故意轉移焦點
新北第9選區「70歲老將挑戰7連霸」　28歲正妹再戰！里長力拚逆轉
高雄男女不滿低收補助金太少…揚言「砰砰陳其邁」　民進黨譴責
彰化立委政見會國民黨小雞「棄權落跑」　朱立倫：尊重他的選擇
圖／屏南17鄉鎮響應「美德站出來」　鄉親潛水、站上SUP力挺徐富癸
快訊／4點駁斥「全家靠陸業務吃穿」　張宏陸宣布提告林國春
年輕人投票率85％就當選　柯文哲喊話：自己國家自己救
黃帝穎點出洪佳君拋「賣掉社宅」　反問國民黨：也是侯友宜政見？
屏南選區泛綠上演「海陸大戰」　蘇孟淳抨擊民進黨負面文宣
直擊／「最美里長」陳紫渝比3支持！　侯友宜回防新北車掃支持者嗨跳擊掌
快訊／嗆綠靠抹黑發財！侯友宜競辦明開告　轟李正皓一再造謠
蔡明堂不捨子弟兵張誌家離世　回憶當年青澀模樣嘆：再見了，阿家
林國春一早「藍白拖」雨中拜票！張宏陸、蕭美琴車掃超熱鬧
民眾黨表態挺陳超明　時力酸「把國家還給黑金」：這些人連藍都不敢要
斥柯文哲抹紅「選舉選到抓狂了」　趙少康：中共也指定藍白合嗎
轟「老師不敢管教學生」校安網已破洞　侯友宜競辦：教部立刻改規定
藍營提案高端專案報告　綠尊重：信者恆信、不信者總有千萬種理由
稱侯友宜請假導致國中生割頸　趙少康嘆：都是民進黨逼他辭市長
羅致政「深偽私密片」流出　陳學聖：為何賴清德立刻說是中國介入？
藍爆高端股東有千名綠營　侯友宜：上任後徹底解密炒股案
趙少康曝「民進黨備戰證據」　連彈藥庫附近的民宅都在囤積彈藥
趙少康喊「泰勒絲不敢來」　綠嘆打臉蔣萬安：最大在野黨提這種候選人
選戰倒數10天為「侯康」搶女性票　國民黨推「KMT Girls」環台
署名看板諷刺「包租侯」遭新北警查水錶　民進黨：別把警局當警總
藍黨團控民進黨藉「五月天案」介選　賴士葆：國安官員何時變鼠輩？
柯文哲嗆侯「中共挺的人」　她酸吃相難看：當大家忘記藍白合大戲？
分析蕭美琴副總統辯論會表現　黃暐瀚：看到年輕版的蔡英文
幕後／泰勒絲因兵凶戰危拒來台？　業內專家3疑點提醒：別遇詐騙
吳欣盈財產申報仍不見「比利時貴族尪」　綠詫異：這是最基本資訊
羅致政「深偽私密片」批陸介選　國民黨：別什麼都說是境外勢力
吳欣盈更新財產申報仍缺配偶　綠委：國政不清楚連自己財務也不清楚
國民黨團提案1／5召開臨時會　要陳建仁專報高端採購弊端、公布合約
侯友宜反擊抹紅「我兩代人拿槍護台」　與拜登同路線
「辯論會趙少康表現最好」　沈富雄：蕭美琴愁眉苦臉宣傳綠營政績
中廣設「康新聞專區」替趙少康宣傳　綠委批不演了：這侯康配官網？
被疑替子弟兵輔選違行政中立　陳菊辦公室：非事實
賴清德聲援羅致政「深偽影片受害者」　游淑慧轟：出事就賴介選
