title
釋憲案白營律師價碼「1人抵4機關」　綠酸黃國昌冤大頭：高金額請這種
藍白立委收到恐嚇信！　國民黨團強烈譴責：已報案處理
賴清德非核家園轉彎？　總統府斥扭曲原意
檢調查京華城案將約談彭振聲　黃國昌：檢調洩獨家給媒體帶風向
賴清德慢半拍聲援林郁婷？　 趙少康轟：一定是被大家罵死才動作
設非軍事區、建金廈大橋！　金門議會2政團破百人連署書遞交立院
新竹2022再現？李縉穎喊「藍白合進行式」　綠酸已破功：市民眼睛雪亮
賴清德評估用新核能要先連任　黃國昌：別挑戰公民社會智商
賴清德稱「非核家園非意識形態」　藍委：證明能源政策徹底破產
傅崐萁母喪　鄭銘謙、柯文哲致哀　花東鐵公路常中斷民眾黨籲加強海空運
賴清德指「非核家園」是法定目標　藍轟：錯誤能源政策的遮羞布
「黨主席之爭」盧秀燕陷兩難　黃暐瀚分析：不選會有2028的未知風險
列「台獨頑固份子」後啟動　側翼瘋傳林飛帆召妓被逮、威脅殺綠委全家
台獨清單5名嘴不見了！　郭正亮揭原因：中國敵對氛圍針對民進黨
林飛帆被傳「召妓」、薪資比部長高　深夜發文回應了
總統賴清德：「非核家園」非民進黨意識形態
郭婞淳舉重奪銅　賴清德：負傷力抗強敵令人驕傲！
核電未來轉「緊急備用機組」？　曾文生揭關鍵原因：沒有辦法！
賴清德若啟用「新技術核能」要先總統連任　最快2030年後評估
總統府回應翁曉玲質疑　憲法法庭3位律師費總計45萬元
童子賢主張核電感嘆被誤解反綠電　直呼不排碳發電每一度都珍貴
氣候變遷會議激辯4小時？　賴清德笑：媒體會猜大家是不是吵起來
環團肯定賴清德掌舵迎氣候變遷挑戰　籲政府公布用電大戶名單
實踐環境、經濟雙贏　曹世綸：持續綠能基礎佈建關乎半導體業留台
賴清德下令台電「電網強韌計畫」提早4年　2028完成民生關鍵工程
賴清德拋3條件「核安、核廢料、社會共識」　可接受新的核能技術
台電提出台灣能源6大挑戰　坦言「未來3年供電壓力最大」
海基會董座傳由吳豐山接任　陸委會：並無所悉
曝謝國樑「反罷免」首要任務　他籲1事勿重演：藍戰力會被看衰
綠訪團與美大麻業者餐敘　賴士葆問要進口嗎？若是就喪盡天良了
台灣40年後將「沒有冬天」衝擊溫泉業　未來颱風減少但傷害更大
金門民代連署蓋「金廈大橋」　陸委會：不是單純「通橋」那麼簡單
「把最健康的歲月奉獻國家」　謝長廷談卸任感言：人生翻過新一頁
「奧運派對」局處看臉書才知　蔣萬安曝原規劃：我認為這次意義特殊
多位藍白立委收到恐嚇信！　羅智強曝「內容」：自己絕不低頭
國台辦設「舉報台獨信箱」　陸委會擔心「周子瑜事件」重演！
綠促臨時會處理人事同意權　喊話韓國瑜身負重任：請盡快召集協商
賴清德：氣候治理是「多選題」　反核、擁核不是簡單「是非題」
林郁婷遭國際拳總霸凌　藍委籲賴清德反制：停止購買俄羅斯天然氣
內政部「打詐綱領2.0」明年上路　劉世芳：結合打詐四法打擊詐欺
嘉義空軍基地8／10登場　F16V、幻象及IDF三主力戰機飆戰技
競選經費遭疑！柯文哲付授權金給木可？　民眾黨澄清：委託作業管理費
稱麟洋配中國人的驕傲遭轟　翁曉玲不認錯：同文同種哪有說錯話
父親節分享「好爸爸秘笈」　陳世凱：一起來當神隊友！
蔣萬安喊找選手走紅毯　林延鳳爆「局處看臉書才知」：蹭好蹭滿奧運
林郁婷進冠軍賽再遭J.K.羅琳嗆　藍委引哈利波特台詞：去去武器走！
侯友宜加碼！　「新北女兒」林郁婷搶金成功將獲570萬元
奧運網路「負面聲量」排行榜出爐　林郁婷居冠、翁曉玲「中國人」第三
朱立倫遭指與大麻美眾議員合照！　國民黨怒嗆：指鹿為馬
海軍首阿美族少將晉任　空軍昔特技飛官喊：不會讓共軍越雷池一步
總統府開委員會童子賢再談核電延役　行政院：能源政策態度不變
氣候變遷對策委員會核能議題受矚　李彥秀：賴清德要反核神主牌
釋憲案立院花186萬請律師　行政院曝光價碼：總經費30萬
當林郁婷後盾力挺奪金　行政院：證據都已蒐集好「法律面賽後再進行」
郭正亮揭民進黨2026派系南北交易　「林右昌換林俊憲」蘇巧慧阻力大
節能家電汰舊換新補助延長！　經濟部2年編136億補助408萬台
曝「麟洋配曾遭政府糾正」　黃揚明揭辛酸史：奪牌前有誰知道他們
蔣萬安邀奧運選手16日走紅毯、After party　倒數一週急聯繫設計師
打詐新四法上路　卓榮泰：打詐預算大幅增加展現決心
翁曉玲喊被霸凌　綠委：她的言行本該被唾棄
憶父親借錢奔波為讓他唸書　陳水扁：子欲養而親不在
民眾黨駁木可公關金流疑雲　黃暐瀚提1點質疑：怪怪的？
藍白為釋憲案花186萬公帑請律師　吳思瑤：綠自掏腰包「感謝公益價」
賴清德首出席將官晉任逐一致意　重申兩岸互不隸屬、主權不容併吞
貓奴注意！家貓明年8月起也要辦寵物登記　未登記恐重罰1.5萬
92歲柯爸摔車受傷！　柯文哲貼「病床照」：父親節聽聽孩子的話
心疼！林郁婷賽後被對手比「雙X」　蔡其昌：氣到睡不著
「我兒子在學校品行第一！」柯媽媽力挺柯文哲：若貪污早就當選
陳佩琪自爆開「人頭公司」反酸超思蛋　綠：民眾眼睛是雪亮的
金門三七事件越南家屬金門祭拜罹難者　盼查真相歸還遺物
台電不供電給北部AI大廠　藍委質疑：賴清德不是要平衡區域經濟？
又一筆！柯文哲「KP募款演唱會」帳目被爆有問題　77萬營收全查不到
黃國昌曾喊若柯文哲涉貪「第一個罵」　綠營：再裝沒事第100都排不到
陳佩琪自爆開人頭公司「還沒運作」　柯美蘭力挺：沒開幕也還好
柯文哲捲假帳疑雲　黃國昌：100%相信柯「查核結果會對外公布」
議員質疑蹭麟洋奪金蓋國際羽球館　蔣萬安駁：去年就與中央討論籌劃
歷史巧合？朝小野大從監院杯葛到試院　賴清德20年後又遇「阿扁困境」
柯文哲政治獻金申報不實「帳務瑕疵」？　綠委曝疑點：當大家沒選過？
政治獻金申報不實！　黃揚明轟離譜：柯文哲黃珊珊應出面道歉
「酷洛米」現身北捷！忠孝復興站店首賣　聯名商品今全新上市
快訊／政治獻金陷疑雲！　柯文哲：清查帳目後會跟社會說明
陳佩琪自爆用人頭開小草咖啡廳　律師示警涉三大法律責任
柯文哲陷政治獻金疑雲　議員爆查核會計師曾說「獨董酬金回捐黨」
快訊／關渡碼頭浮屍是「政戰學院士官長」　國防大學回應了
台電認未來3年夜間供電吃緊　國民黨籲召開「國家能源政策國是會議」
林郁婷金牌戰熬夜看！　新北市府11日凌晨開大廳辦「奪金直播派對」
不容惡意扭曲！卓榮泰重申：非核家園是依法行政非神主牌
賴政府核能立場遭質疑　陳世凱：非核家園政策沒有任何改變
彭啓明稱「核能就像大象一腿」　洪孟楷：看過三腿的大象？
郭智輝盼工業電價9月調漲　李彥秀批：政策未成形前別亂放話
賴清德指「非核家園非綠意識形態」　賴士葆轟：自打嘴巴沒說服力
政治獻金被爆做假帳？　黃揚明：柯文哲人設毀、民眾黨恐泡沫化
柯捲政治獻金疑雲　黃珊珊：對帳發現有錯誤「對廠商非常抱歉」
柯文哲政治獻金疑雲重重　民眾黨致歉：帳務瑕疵將全面清查
是情人節又是老公生日！　藍委曝光38年前出嫁照：我愛你謝謝你
總統級墨寶！　陳水扁七夕揮毫25字情詩祝「天天情人節」
用兒子名義開公司遭檢舉　陳佩琪自嘲不聰明：請法院從輕量刑
賴清德指「非核家園不是意識形態」　葉元之：總統直接打臉卓榮泰？
在野卡NCC人事「考委衰捲颱風尾」　考試院恐「唱空城」衝擊3萬考生
28架次共機、10艘共艦「兩側襲擾」　最近離台東62浬
幕後／朝野僵局「臨時會恐胎死腹中」　NCC、考試院人事案再等等
陳佩琪用別人名義開公司「地址在黨部」　綠委點3疑點：統稱KP電詐園區
卓榮泰赴吳詩儀家麵館　與選手視訊喊話：全台灣都是你們的靠山
柯文哲爭議連環爆　議員批：向全台灣示範「知法犯法」
疫後首團陸客抵馬祖！　陸委會：歡迎更多陸客到金馬旅遊
想開小草咖啡廳惹議　陳佩琪爆料：柯文哲氣到晚上不想回家
爆柯文哲京華城案關鍵指示　游淑慧揭「3會議」：他要求盡速辦理
柯文哲申報政治獻金遭打臉「非公司承接業務」　民眾黨：釐清中
代表馬英九致電挺翁曉玲！　蕭旭岑：兩岸都是中國人
機捷A12遊客中心啟用　張善政：提升桃園國際觀光市場能見度
柯志恩自爆險遭詐騙過程　喊話政府：打詐預算將達73億請拿出成績
憲法法庭宣告「代理教師不計職前年資」違憲　相關辦法一年後失效
大巨蛋開演唱會趕進度！　消安驗證報告下周出爐
AIT處長谷立言拜會中市府　盧秀燕：盼創更多合作空間
曝2026蘇巧慧別想選新北　吳子嘉揭原因：賴清德將對父蘇貞昌下手
中山商圈逃過團滅！北市府補救方法出爐　擴大2020年後新店家也納管
獨／江啟臣赴梨山饗堂秋祭　允諾向中央爭取為觀光景點
認「用別人名義開小草咖啡廳」　陳佩琪致歉：不知違法已託人撤銷
澳前總理稱台灣「中國不動產」　外交部斥：無法反映國際主流意見
藍綠挺林郁婷只當「鍵盤俠」　TPOC：官方反應慢致國際形成不利輿論
綠批立院花186萬律師費　趙少康：民進黨不是始作俑者嗎？
賴清德「非核家園」政策挨批急轉彎　洪申翰澄清：非信仰式的意識形態
立院花百萬元打憲法法庭訴訟惹議　藍爆：綠用千萬養御用律師事務所
俄羅斯駐聯合國副代表攻擊林郁婷　外交部嚴厲譴責：凸顯蠻橫本質
綠色AI算力聯盟今成立　藍委籲：政府應成為創新技術後盾
揭賴清德「左手進、右手出」手法　吳怡萱：全民繳稅養活共生集團
綠委收死亡威脅、林飛帆被控召妓遭逮捕　綠：認知作戰痕跡明確
查京華城案！檢調約談彭振聲　王定宇揭4重點：誰將倒大楣？
釋憲案白營律師價碼「1人抵4機關」　綠酸黃國昌冤大頭：高金額請這種
藍白立委收到恐嚇信！　國民黨團強烈譴責：已報案處理
賴清德非核家園轉彎？　總統府斥扭曲原意
檢調查京華城案將約談彭振聲　黃國昌：檢調洩獨家給媒體帶風向
賴清德慢半拍聲援林郁婷？　 趙少康轟：一定是被大家罵死才動作
設非軍事區、建金廈大橋！　金門議會2政團破百人連署書遞交立院
新竹2022再現？李縉穎喊「藍白合進行式」　綠酸已破功：市民眼睛雪亮
賴清德評估用新核能要先連任　黃國昌：別挑戰公民社會智商
賴清德稱「非核家園非意識形態」　藍委：證明能源政策徹底破產
傅崐萁母喪　鄭銘謙、柯文哲致哀　花東鐵公路常中斷民眾黨籲加強海空運
賴清德指「非核家園」是法定目標　藍轟：錯誤能源政策的遮羞布
「黨主席之爭」盧秀燕陷兩難　黃暐瀚分析：不選會有2028的未知風險
列「台獨頑固份子」後啟動　側翼瘋傳林飛帆召妓被逮、威脅殺綠委全家
台獨清單5名嘴不見了！　郭正亮揭原因：中國敵對氛圍針對民進黨
林飛帆被傳「召妓」、薪資比部長高　深夜發文回應了
總統賴清德：「非核家園」非民進黨意識形態
郭婞淳舉重奪銅　賴清德：負傷力抗強敵令人驕傲！
核電未來轉「緊急備用機組」？　曾文生揭關鍵原因：沒有辦法！
賴清德若啟用「新技術核能」要先總統連任　最快2030年後評估
總統府回應翁曉玲質疑　憲法法庭3位律師費總計45萬元
童子賢主張核電感嘆被誤解反綠電　直呼不排碳發電每一度都珍貴
氣候變遷會議激辯4小時？　賴清德笑：媒體會猜大家是不是吵起來
環團肯定賴清德掌舵迎氣候變遷挑戰　籲政府公布用電大戶名單
實踐環境、經濟雙贏　曹世綸：持續綠能基礎佈建關乎半導體業留台
賴清德下令台電「電網強韌計畫」提早4年　2028完成民生關鍵工程
賴清德拋3條件「核安、核廢料、社會共識」　可接受新的核能技術
台電提出台灣能源6大挑戰　坦言「未來3年供電壓力最大」
海基會董座傳由吳豐山接任　陸委會：並無所悉
曝謝國樑「反罷免」首要任務　他籲1事勿重演：藍戰力會被看衰
綠訪團與美大麻業者餐敘　賴士葆問要進口嗎？若是就喪盡天良了
台灣40年後將「沒有冬天」衝擊溫泉業　未來颱風減少但傷害更大
金門民代連署蓋「金廈大橋」　陸委會：不是單純「通橋」那麼簡單
「把最健康的歲月奉獻國家」　謝長廷談卸任感言：人生翻過新一頁
「奧運派對」局處看臉書才知　蔣萬安曝原規劃：我認為這次意義特殊
多位藍白立委收到恐嚇信！　羅智強曝「內容」：自己絕不低頭
國台辦設「舉報台獨信箱」　陸委會擔心「周子瑜事件」重演！
3角度看柯文哲「假帳疑雲」　李艷秋：白色自居品格卻沒比較高尚
火線人物／陳佩琪提油救火　柯文哲前方吃緊後院又失守
林郁婷寫拳擊新頁！盧秀燕喊「台灣的驕傲」：展現女性力量與堅毅
國際救災去不去？消防署解惑流程　要讓大家知道TAIWAN CAN HELP
快訊／清查帳目完畢？柯文哲陷政治獻金疑雲　明下午開記者會釋疑
加拿大、澳洲強調台海安全！　外交部致謝：已是國際民主陣營共識
不畏柯文哲假帳爭議　謝國樑盼合體「反罷免」：柯是敬重的前輩
轟綠側翼抹黑家族是日本人　翁曉玲揭「祖父背景」：我就是中國人
馬英九酷暑嗑滷肉飯食欲不佳　一句「總統不好吃」現場笑翻
馬英九二度赴基隆挺謝國樑　手握緊緊喊「罷免好人是褻瀆憲法」
柯文哲政治獻金申報不實　綠委：感覺民眾黨「代誌大條」
柯文哲陷政治獻金疑雲　吳靜怡指：黃珊珊、李文宗是作帳關鍵魔法
林郁婷奧運奪金　蘇巧慧要辦歡迎會：大家一起來鶯歌慶祝
AIT：林郁婷向世界展現了不起的韌性　堅毅正向態度激勵所有人
揭柯文哲政治獻金「3疑點」　律師：恐涉偽造文書罪五年以下徒刑
林郁婷挺過性別爭議強勢摘金　韓國瑜感動：台灣讓世界刮目相看
轟柯文哲「最快墮落政客」　黃智賢盤點爭議：嘴講愛民、行動愛錢
時樂公司陳情「未開3張共916萬發票」　鍾小平明控告柯文哲3罪
公視小編吞18萬公款「只被記1大過」　李彥秀：背景到底多硬？
柯文哲面臨嚴峻威脅！　媒體人嘆：陳佩琪火上加油、小草雪上加霜
林郁婷遭德電視台稱「雙性、中國人」　駐德代表親寫抗議信內容曝
柯文哲多點失火！　黃暐瀚揭「帳目3問題」：支持者毫無自省能力
兌現承諾！慶祝林郁婷奪金　國民黨發放「300份雞排」時間地點曝
游淑慧轟柯文哲夫婦「噁心」！　一直賺還罵別人貪
台商子女夏令營獲好評　海基會：未來還將持續舉辦
「我兒子在學校品行第一！」柯媽媽力挺柯文哲：若貪污早就當選
陳佩琪自爆開「人頭公司」反酸超思蛋　綠：民眾眼睛是雪亮的
金門三七事件越南家屬金門祭拜罹難者　盼查真相歸還遺物
台電不供電給北部AI大廠　藍委質疑：賴清德不是要平衡區域經濟？
又一筆！柯文哲「KP募款演唱會」帳目被爆有問題　77萬營收全查不到
黃國昌曾喊若柯文哲涉貪「第一個罵」　綠營：再裝沒事第100都排不到
陳佩琪自爆開人頭公司「還沒運作」　柯美蘭力挺：沒開幕也還好
柯文哲捲假帳疑雲　黃國昌：100%相信柯「查核結果會對外公布」
議員質疑蹭麟洋奪金蓋國際羽球館　蔣萬安駁：去年就與中央討論籌劃
歷史巧合？朝小野大從監院杯葛到試院　賴清德20年後又遇「阿扁困境」
柯文哲政治獻金申報不實「帳務瑕疵」？　綠委曝疑點：當大家沒選過？
政治獻金申報不實！　黃揚明轟離譜：柯文哲黃珊珊應出面道歉
「酷洛米」現身北捷！忠孝復興站店首賣　聯名商品今全新上市
快訊／政治獻金陷疑雲！　柯文哲：清查帳目後會跟社會說明
陳佩琪自爆用人頭開小草咖啡廳　律師示警涉三大法律責任
柯文哲陷政治獻金疑雲　議員爆查核會計師曾說「獨董酬金回捐黨」
快訊／關渡碼頭浮屍是「政戰學院士官長」　國防大學回應了
台電認未來3年夜間供電吃緊　國民黨籲召開「國家能源政策國是會議」
林郁婷金牌戰熬夜看！　新北市府11日凌晨開大廳辦「奪金直播派對」
不容惡意扭曲！卓榮泰重申：非核家園是依法行政非神主牌
賴政府核能立場遭質疑　陳世凱：非核家園政策沒有任何改變
彭啓明稱「核能就像大象一腿」　洪孟楷：看過三腿的大象？
郭智輝盼工業電價9月調漲　李彥秀批：政策未成形前別亂放話
賴清德指「非核家園非綠意識形態」　賴士葆轟：自打嘴巴沒說服力
政治獻金被爆做假帳？　黃揚明：柯文哲人設毀、民眾黨恐泡沫化
柯捲政治獻金疑雲　黃珊珊：對帳發現有錯誤「對廠商非常抱歉」
柯文哲政治獻金疑雲重重　民眾黨致歉：帳務瑕疵將全面清查
是情人節又是老公生日！　藍委曝光38年前出嫁照：我愛你謝謝你
總統級墨寶！　陳水扁七夕揮毫25字情詩祝「天天情人節」
用兒子名義開公司遭檢舉　陳佩琪自嘲不聰明：請法院從輕量刑
賴清德指「非核家園不是意識形態」　葉元之：總統直接打臉卓榮泰？
在野卡NCC人事「考委衰捲颱風尾」　考試院恐「唱空城」衝擊3萬考生
28架次共機、10艘共艦「兩側襲擾」　最近離台東62浬
幕後／朝野僵局「臨時會恐胎死腹中」　NCC、考試院人事案再等等
陳佩琪用別人名義開公司「地址在黨部」　綠委點3疑點：統稱KP電詐園區
卓榮泰赴吳詩儀家麵館　與選手視訊喊話：全台灣都是你們的靠山
柯文哲爭議連環爆　議員批：向全台灣示範「知法犯法」
疫後首團陸客抵馬祖！　陸委會：歡迎更多陸客到金馬旅遊
想開小草咖啡廳惹議　陳佩琪爆料：柯文哲氣到晚上不想回家
爆柯文哲京華城案關鍵指示　游淑慧揭「3會議」：他要求盡速辦理
柯文哲申報政治獻金遭打臉「非公司承接業務」　民眾黨：釐清中
代表馬英九致電挺翁曉玲！　蕭旭岑：兩岸都是中國人
機捷A12遊客中心啟用　張善政：提升桃園國際觀光市場能見度
柯志恩自爆險遭詐騙過程　喊話政府：打詐預算將達73億請拿出成績
憲法法庭宣告「代理教師不計職前年資」違憲　相關辦法一年後失效
大巨蛋開演唱會趕進度！　消安驗證報告下周出爐
AIT處長谷立言拜會中市府　盧秀燕：盼創更多合作空間
曝2026蘇巧慧別想選新北　吳子嘉揭原因：賴清德將對父蘇貞昌下手
中山商圈逃過團滅！北市府補救方法出爐　擴大2020年後新店家也納管
獨／江啟臣赴梨山饗堂秋祭　允諾向中央爭取為觀光景點
認「用別人名義開小草咖啡廳」　陳佩琪致歉：不知違法已託人撤銷
澳前總理稱台灣「中國不動產」　外交部斥：無法反映國際主流意見
藍綠挺林郁婷只當「鍵盤俠」　TPOC：官方反應慢致國際形成不利輿論
綠批立院花186萬律師費　趙少康：民進黨不是始作俑者嗎？
賴清德「非核家園」政策挨批急轉彎　洪申翰澄清：非信仰式的意識形態
立院花百萬元打憲法法庭訴訟惹議　藍爆：綠用千萬養御用律師事務所
俄羅斯駐聯合國副代表攻擊林郁婷　外交部嚴厲譴責：凸顯蠻橫本質
綠色AI算力聯盟今成立　藍委籲：政府應成為創新技術後盾
揭賴清德「左手進、右手出」手法　吳怡萱：全民繳稅養活共生集團
綠委收死亡威脅、林飛帆被控召妓遭逮捕　綠：認知作戰痕跡明確
查京華城案！檢調約談彭振聲　王定宇揭4重點：誰將倒大楣？
釋憲案白營律師價碼「1人抵4機關」　綠酸黃國昌冤大頭：高金額請這種
藍白立委收到恐嚇信！　國民黨團強烈譴責：已報案處理
1男自稱「前木可總經理」　民眾黨林昭印怒嗆造謠：你何時當過？
不只會計師有責任！　民眾黨秘書長：將黃珊珊、李文宗移送中評會
民眾黨陷帳務瑕疵！黃暐瀚揭真正問題：像極去年「尾巴搖狗」危機
會計師1人可決定漏登、誤登？　吳怡萱嘆：事實真相就是如此
批端木正避重就輕、不可取　黃珊珊籲誠實：虛報支出符合哪門子法規？
新北市新聞局長張愛晶請辭　原因曝光「孩子的媽媽只有一個」
新北市府人事異動！　29歲「侯家軍」李利貞接任新聞局長
吳思瑤感謝奧運台灣英雄團結國家　喊催生「體育暨運動發展部」
向「好閨蜜」戴利玲致歉！黃珊珊：依法追究名嘴不實指控　絕不寬貸
7縣市加碼福利卻被扣補助　李彥秀嗆賴清德：對得起孩子的未來？
被爆已讀不回戴利玲　黃珊珊反問：鍾小平講的話能信嗎？
韓國瑜接見「全女性」美國眾議員訪團　自嘲歷任「頭髮最少」院長
報帳要經李文娟審核？李文宗「護妹」：競選財務多　她是協助而已
快訊／賴清德明派3架F-16V伴飛接奧運選手　16日辦台灣英雄大遊行
快訊／「授權金」爭議不斷　木可公司宣告暫停運作：盈餘全數捐出
藍綠白三黨財報公開　民眾黨上期賸餘2427萬最多
內政部公開政黨112年度財報　3政黨未完成申報恐裁罰
轟民眾黨串供套招繼續拗！　游淑慧酸：該質疑他們的智商還是廉潔
台電要科技業就近電源端設廠　李彥秀轟：推卸責任、情緒勒索
轟民進黨要開臨時會是「假議題」　洪孟楷：連立委連署都沒遞出
吳靜怡預言柯文哲下午記者會「8字腳本」　呼籲拿出關鍵性證據
「臨時會卡關」考慮提早開議？　民進黨團盼韓國瑜趕快召集協商
不捨林郁婷遭性別羞辱　凌濤轟體育署太「軟」：立刻提國際訴訟
澳門迫簽一中承諾書我恐撤館？　綠不樂見：中國應收回不合理要求
朱立倫賀林郁婷奪金送雞排！　黨員鬧場：我投侯友宜沒拿到
賴清德感性總結奧運　台灣英雄創歷史、全國發揮TEAM TAIWAN精神
柯文哲「千萬假帳疑雲」　林智群列4情況：問題都很大
幕後／賴清德私下說了一口好比賽　大讚黃筱雯16強止步後場下細節
3角度看柯文哲「假帳疑雲」　李艷秋：白色自居品格卻沒比較高尚
火線人物／陳佩琪提油救火　柯文哲前方吃緊後院又失守
林郁婷寫拳擊新頁！盧秀燕喊「台灣的驕傲」：展現女性力量與堅毅
國際救災去不去？消防署解惑流程　要讓大家知道TAIWAN CAN HELP
快訊／清查帳目完畢？柯文哲陷政治獻金疑雲　明下午開記者會釋疑
加拿大、澳洲強調台海安全！　外交部致謝：已是國際民主陣營共識
不畏柯文哲假帳爭議　謝國樑盼合體「反罷免」：柯是敬重的前輩
轟綠側翼抹黑家族是日本人　翁曉玲揭「祖父背景」：我就是中國人
馬英九酷暑嗑滷肉飯食欲不佳　一句「總統不好吃」現場笑翻
馬英九二度赴基隆挺謝國樑　手握緊緊喊「罷免好人是褻瀆憲法」
柯文哲政治獻金申報不實　綠委：感覺民眾黨「代誌大條」
柯文哲陷政治獻金疑雲　吳靜怡指：黃珊珊、李文宗是作帳關鍵魔法
林郁婷奧運奪金　蘇巧慧要辦歡迎會：大家一起來鶯歌慶祝
AIT：林郁婷向世界展現了不起的韌性　堅毅正向態度激勵所有人
揭柯文哲政治獻金「3疑點」　律師：恐涉偽造文書罪五年以下徒刑
林郁婷挺過性別爭議強勢摘金　韓國瑜感動：台灣讓世界刮目相看
轟柯文哲「最快墮落政客」　黃智賢盤點爭議：嘴講愛民、行動愛錢
時樂公司陳情「未開3張共916萬發票」　鍾小平明控告柯文哲3罪
公視小編吞18萬公款「只被記1大過」　李彥秀：背景到底多硬？
柯文哲面臨嚴峻威脅！　媒體人嘆：陳佩琪火上加油、小草雪上加霜
林郁婷遭德電視台稱「雙性、中國人」　駐德代表親寫抗議信內容曝
柯文哲多點失火！　黃暐瀚揭「帳目3問題」：支持者毫無自省能力
兌現承諾！慶祝林郁婷奪金　國民黨發放「300份雞排」時間地點曝
游淑慧轟柯文哲夫婦「噁心」！　一直賺還罵別人貪
台商子女夏令營獲好評　海基會：未來還將持續舉辦
「我兒子在學校品行第一！」柯媽媽力挺柯文哲：若貪污早就當選
陳佩琪自爆開「人頭公司」反酸超思蛋　綠：民眾眼睛是雪亮的
金門三七事件越南家屬金門祭拜罹難者　盼查真相歸還遺物
台電不供電給北部AI大廠　藍委質疑：賴清德不是要平衡區域經濟？
又一筆！柯文哲「KP募款演唱會」帳目被爆有問題　77萬營收全查不到
幕後／民眾黨3天對質內容曝光！端木正認調節2000萬　黃珊珊一度暴怒
政治獻金平台會計師僅能「查詢」　端木正登錄收支需柯文哲、競總授權
端木正稱「政治獻金申報0經驗」　民眾黨將找第三方會計團隊查帳
快訊／議員江志明涉施壓台鐵女員工　民進黨譴責開鍘：送評委會議處
快訊／柯文哲政治獻金風暴　民眾黨明將提告端木正
柯文哲「假帳」端木正隻手之天？　綠曝申報系統打臉：不可能單獨作帳
讓「體育界走進體育部」　行政院籌備體育部將廣納選手意見
遭指欠款1300萬　木可公司將提告立鼎、葉智光
幕後／柯文哲「假帳」風波繫一人　「會計師全責論」藍綠都不買單
F-5戰機等1459老舊軍備汰除！5年省23億　上半年招募達成率104.3%
行政院經發會9月3日首召開　劉德音、劉揚偉、施振榮入列顧問
端木正是柯市府富邦金獨董　游淑慧：柯文哲比新潮流好到哪裡？
許銘春也參戰！綠營下屆高雄市長「5搶1」　陳其邁：是好事
會計師將成「恐怖情人」？　陳學聖：柯P斷了自己的路
柯文哲危機處理第一步！　邱毅要黃珊珊：自行了斷辭立委
內政部：疫後迄今許可568名大陸宗教人士來台　若有統戰目地就不准
黃暐瀚揭柯文哲的「4不1沒有」　預言：麻煩還沒結束
「柯文哲最大政治錯誤是重用黃珊珊」　蕭旭岑：她可能跟綠合作
剪不斷理還亂？柯文哲假帳事件4疑點待解　爭議人物關係圖一次看
轟柯文哲記者會把全台當白痴　黃智賢：有會計師會努力做假帳？
挺盧秀燕選黨主席戰2028　蕭旭岑：以免重蹈韓國瑜、侯友宜覆轍
快訊／柯文哲涉政治獻金「假帳」風波　監院列五爭議：已派員調查
民眾黨連環爆！　蔡宛秦突發聲明「不當代罪羔羊」
藍白合絕響？柯文哲中箭「賴清德穩了」　蕭旭岑對藍營前景悲觀
挺柯網紅失望透了！　「很多錯誤越來越詭異、難以解釋」
威脅立院補預算台電就不漲電價？　許宇甄轟：7月才開始就要嚇人
柯文哲陷政治獻金假帳風波　洪孟楷：民眾黨應與會計師一起說清楚
民進黨盼開臨時會過NCC人事案　洪孟楷嗆：國民黨不答應
許銘春也要選高雄市長　林岱樺：表示民進黨有責任感、有信心
行政院開系統性治水會議　前瞻治水收成效、持續提升承洪韌性
轟綠假仁假義！柯志恩：國考早準備好　別拿考生當臨時會墊腳石
柯文哲涉假帳風波甩會計師　王婉諭曝流程：都須經由候選人蓋章負責
盼端木正出面說明！民眾黨名譽受損　陳智菡：可能被迫採取法律行動
韓國瑜明召集協商人事同意權　綠盼找出共識避空轉
快訊／3架F-16V迎我國奧運英雄　同時22架次共機擾台
專案恢復林郁婷國光獎章榮譽　行政院：肯定其國際賽場優異表現
選舉假帳甩鍋會計師　李艷秋4點評柯文哲：阿北真的智商157？
柯文哲捲政治獻金風暴　卓榮泰：誠實面對選民才不會對自己造成傷害
「會計師便宜行事」不合常理　她反問民眾黨：該怎麼相信你？
電價不漲了？　卓榮泰暗示「沒特別需要的話」：以民生安定為考量
柯文哲選舉假帳怒怪會計師　矢板明夫評他有「3缺」：不合格
許銘春也要選！綠5人表態搶高雄市長　許智傑：代表人才濟濟
「假帳風波」柯文哲認首次選總統沒經驗　他揭：申報程序跟選市長一樣
揭林秉樞施打「特權疫苗」遭判有罪　陳菁徽：上訴二審爭取清白
體育發展邁入下一階段　卓榮泰：儘速說明體育部籌備狀況
蔡英文自爆花錢裝MOD買體育頻道　結果不敢開電視看奧運直播
綠不捨放手小金庫？　馬文君挺韓國瑜、盧業中揭民主基金會密帳
漏網鏡頭／賴清德給奧運英雄驚喜彩蛋　林郁婷拿手機錄全程
李氏兄妹寄生柯文哲陣營　一圖看出複雜三角關係
神祕公司撈走民眾黨千萬元　金流用途「柯友友」包辦
柯文哲涉「5大弊案」一次看　木可資金回流數百萬兜不攏
林郁婷催生體育部！　首位部長熱門人選出線
藍議員：柯文哲已無緣2028　推測「獻金申報」真相是幕僚A走
「柯文哲人設徹底崩盤」 ！　沈富雄斷言：民眾黨毀了
